"","cocktail_id","generation","cocktail_no","solution_component_no","concentration","units","name","ph"
"98","4f15c1c0eeaabc8234002a2e",8,"C0049",2,0.1,"M","Sodium acetate trihydrate",4.6
"99","4f15c1c0eeaabc8234002a2e",8,"C0049",3,30,"% (v/v)","MPD",4.6
"100","4f15c1c0eeaabc8234002a2f",8,"C0050",1,35,"% (v/v)","Glycerol anhydrous",7.51
"101","4f15c1c0eeaabc8234002a2f",8,"C0050",2,0.26,"M","Potassium sodium tartrate tetrahydrate",7.51
"102","4f15c1c0eeaabc8234002a30",8,"C0051",1,0.26,"M","Ammonium phosphate monobasic",4.29
"103","4f15c1c0eeaabc8234002a30",8,"C0051",2,35,"% (v/v)","Glycerol anhydrous",4.29
"104","4f15c1c0eeaabc8234002a31",8,"C0052",1,5.6,"M","Lithium bromide",5
"105","4f15c1c0eeaabc8234002a31",8,"C0052",2,0.1,"M","Sodium acetate trihydrate",5
"106","4f15c1c0eeaabc8234002a32",8,"C0053",1,5.6,"M","Lithium bromide",4.2
"107","4f15c1c0eeaabc8234002a32",8,"C0053",2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"108","4f15c1c0eeaabc8234002a33",8,"C0054",1,3.73,"M","Lithium bromide",6
"109","4f15c1c0eeaabc8234002a33",8,"C0054",2,0.1,"M","MES monohydrate",6
"110","4f15c1c0eeaabc8234002a34",8,"C0055",1,3.73,"M","Lithium bromide",7
"111","4f15c1c0eeaabc8234002a34",8,"C0055",2,0.1,"M","Bis-Tris Propane",7
"112","4f15c1c0eeaabc8234002a35",8,"C0056",1,1.87,"M","Lithium bromide",4.2
"113","4f15c1c0eeaabc8234002a35",8,"C0056",2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"114","4f15c1c0eeaabc8234002a36",8,"C0057",1,1.87,"M","Lithium bromide",8
"115","4f15c1c0eeaabc8234002a36",8,"C0057",2,0.1,"M","Tris",8
"116","4f15c1c0eeaabc8234002a37",8,"C0058",1,1.87,"M","Lithium bromide",9
"117","4f15c1c0eeaabc8234002a37",8,"C0058",2,0.1,"M","TAPS",9
"118","4f15c1c0eeaabc8234002a38",8,"C0059",1,6.62,"M","Lithium chloride",5
"119","4f15c1c0eeaabc8234002a38",8,"C0059",2,0.1,"M","Sodium acetate trihydrate",5
"120","4f15c1c0eeaabc8234002a39",8,"C0060",1,6.62,"M","Lithium chloride",7.5
"121","4f15c1c0eeaabc8234002a39",8,"C0060",2,0.1,"M","HEPES",7.5
"122","4f15c1c0eeaabc8234002a3a",8,"C0061",1,6.62,"M","Lithium chloride",10
"123","4f15c1c0eeaabc8234002a3a",8,"C0061",2,0.1,"M","CAPS",10
"124","4f15c1c0eeaabc8234002a3b",8,"C0062",1,4.42,"M","Lithium chloride",6
"125","4f15c1c0eeaabc8234002a3b",8,"C0062",2,0.1,"M","MES monohydrate",6
"126","4f15c1c0eeaabc8234002a3c",8,"C0063",1,4.42,"M","Lithium chloride",7
"127","4f15c1c0eeaabc8234002a3c",8,"C0063",2,0.1,"M","Bis-Tris Propane",7
"128","4f15c1c0eeaabc8234002a3d",8,"C0064",1,4.42,"M","Lithium chloride",8
"129","4f15c1c0eeaabc8234002a3d",8,"C0064",2,0.1,"M","Tris",8
"130","4f15c1c0eeaabc8234002a3e",8,"C0065",1,2.21,"M","Lithium chloride",4.2
"131","4f15c1c0eeaabc8234002a3e",8,"C0065",2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"132","4f15c1c0eeaabc8234002a3f",8,"C0066",1,2.21,"M","Lithium chloride",9
"133","4f15c1c0eeaabc8234002a3f",8,"C0066",2,0.1,"M","TAPS",9
"134","4f15c1c0eeaabc8234002a40",8,"C0067",1,2.69,"M","Magnesium acetate tetrahydrate",7
"135","4f15c1c0eeaabc8234002a40",8,"C0067",2,0.1,"M","Bis-Tris Propane",7
"136","4f15c1c0eeaabc8234002a41",8,"C0068",1,2.69,"M","Magnesium acetate tetrahydrate",9
"137","4f15c1c0eeaabc8234002a41",8,"C0068",2,0.1,"M","TAPS",9
"138","4f15c1c0eeaabc8234002a42",8,"C0069",1,1.79,"M","Magnesium acetate tetrahydrate",4.2
"139","4f15c1c0eeaabc8234002a42",8,"C0069",2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"140","4f15c1c0eeaabc8234002a43",8,"C0070",1,1.79,"M","Magnesium acetate tetrahydrate",6
"141","4f15c1c0eeaabc8234002a43",8,"C0070",2,0.1,"M","MES monohydrate",6
"142","4f15c1c0eeaabc8234002a44",8,"C0071",1,1.79,"M","Magnesium acetate tetrahydrate",8
"143","4f15c1c0eeaabc8234002a44",8,"C0071",2,0.1,"M","Tris",8
"144","4f15c1c0eeaabc8234002a45",8,"C0072",1,0.9,"M","Magnesium acetate tetrahydrate",5
"145","4f15c1c0eeaabc8234002a45",8,"C0072",2,0.1,"M","Sodium acetate trihydrate",5
"146","4f15c1c0eeaabc8234002a46",8,"C0073",1,0.9,"M","Magnesium acetate tetrahydrate",7
"147","4f15c1c0eeaabc8234002a46",8,"C0073",2,0.1,"M","Bis-Tris Propane",7
"148","4f15c1c0eeaabc8234002a47",8,"C0074",1,3.73,"M","Magnesium chloride hexahydrate",5
"149","4f15c1c0eeaabc8234002a47",8,"C0074",2,0.1,"M","Sodium acetate trihydrate",5
"150","4f15c1c0eeaabc8234002a48",8,"C0075",1,3.73,"M","Magnesium chloride hexahydrate",4.2
"151","4f15c1c0eeaabc8234002a48",8,"C0075",2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"152","4f15c1c0eeaabc8234002a49",8,"C0076",1,2.48,"M","Magnesium chloride hexahydrate",7.5
"153","4f15c1c0eeaabc8234002a49",8,"C0076",2,0.1,"M","HEPES",7.5
"154","4f15c1c0eeaabc8234002a4a",8,"C0077",1,2.48,"M","Magnesium chloride hexahydrate",8
"155","4f15c1c0eeaabc8234002a4a",8,"C0077",2,0.1,"M","Tris",8
"156","4f15c1c0eeaabc8234002a4b",8,"C0078",1,1.24,"M","Magnesium chloride hexahydrate",4.2
"157","4f15c1c0eeaabc8234002a4b",8,"C0078",2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"158","4f15c1c0eeaabc8234002a4c",8,"C0079",1,1.24,"M","Magnesium chloride hexahydrate",6
"159","4f15c1c0eeaabc8234002a4c",8,"C0079",2,0.1,"M","MES monohydrate",6
"160","4f15c1c0eeaabc8234002a4d",8,"C0080",1,1.24,"M","Magnesium chloride hexahydrate",7
"161","4f15c1c0eeaabc8234002a4d",8,"C0080",2,0.1,"M","Bis-Tris Propane",7
"162","4f15c1c0eeaabc8234002a4e",8,"C0081",1,1.59,"M","Magnesium sulfate heptahydrate",9
"163","4f15c1c0eeaabc8234002a4e",8,"C0081",2,0.1,"M","TAPS",9
"164","4f15c1c0eeaabc8234002a4f",8,"C0082",1,1.59,"M","Magnesium sulfate heptahydrate",8
"165","4f15c1c0eeaabc8234002a4f",8,"C0082",2,0.1,"M","Tris",8
"166","4f15c1c0eeaabc8234002a50",8,"C0083",1,1.06,"M","Magnesium sulfate heptahydrate",7
"167","4f15c1c0eeaabc8234002a50",8,"C0083",2,0.1,"M","Bis-Tris Propane",7
"168","4f15c1c0eeaabc8234002a51",8,"C0084",1,0.53,"M","Magnesium sulfate heptahydrate",5
"169","4f15c1c0eeaabc8234002a51",8,"C0084",2,0.1,"M","Sodium acetate trihydrate",5
"170","4f15c1c0eeaabc8234002a52",8,"C0085",1,0.53,"M","Magnesium sulfate heptahydrate",7.5
"171","4f15c1c0eeaabc8234002a52",8,"C0085",2,0.1,"M","HEPES",7.5
"172","4f15c1c0eeaabc8234002a53",8,"C0086",1,0.53,"M","Magnesium sulfate heptahydrate",8
"173","4f15c1c0eeaabc8234002a53",8,"C0086",2,0.1,"M","Tris",8
"174","4f15c1c0eeaabc8234002a54",8,"C0087",1,3.82,"M","Manganese chloride tetrahydrate",4.2
"175","4f15c1c0eeaabc8234002a54",8,"C0087",2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"176","4f15c1c0eeaabc8234002a55",8,"C0088",1,3.82,"M","Manganese chloride tetrahydrate",8
"177","4f15c1c0eeaabc8234002a55",8,"C0088",2,0.1,"M","Tris",8
"178","4f15c1c0eeaabc8234002a56",8,"C0089",1,3.82,"M","Manganese chloride tetrahydrate",5
"179","4f15c1c0eeaabc8234002a56",8,"C0089",2,0.1,"M","Sodium acetate trihydrate",5
"180","4f15c1c0eeaabc8234002a57",8,"C0090",1,2.54,"M","Manganese chloride tetrahydrate",5
"181","4f15c1c0eeaabc8234002a57",8,"C0090",2,0.1,"M","Sodium acetate trihydrate",5
"182","4f15c1c0eeaabc8234002a58",8,"C0091",1,2.54,"M","Manganese chloride tetrahydrate",4.2
"183","4f15c1c0eeaabc8234002a58",8,"C0091",2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"184","4f15c1c0eeaabc8234002a59",8,"C0092",1,1.27,"M","Manganese chloride tetrahydrate",4.2
"185","4f15c1c0eeaabc8234002a59",8,"C0092",2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"186","4f15c1c0eeaabc8234002a5a",8,"C0093",1,1.27,"M","Manganese chloride tetrahydrate",5
"187","4f15c1c0eeaabc8234002a5a",8,"C0093",2,0.1,"M","Sodium acetate trihydrate",5
"188","4f15c1c0eeaabc8234002a5b",8,"C0094",1,8.64,"M","Potassium acetate",8
"189","4f15c1c0eeaabc8234002a5b",8,"C0094",2,0.1,"M","Tris",8
"190","4f15c1c0eeaabc8234002a5c",8,"C0095",1,8.64,"M","Potassium acetate",9
"191","4f15c1c0eeaabc8234002a5c",8,"C0095",2,0.1,"M","TAPS",9
"192","4f15c1c0eeaabc8234002a5d",8,"C0096",1,5.76,"M","Potassium acetate",4.2
"193","4f15c1c0eeaabc8234002a5d",8,"C0096",2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"194","4f15c1c0eeaabc8234002a5e",8,"C0097",1,5.76,"M","Potassium acetate",5
"195","4f15c1c0eeaabc8234002a5e",8,"C0097",2,0.1,"M","Sodium acetate trihydrate",5
"196","4f15c1c0eeaabc8234002a5f",8,"C0098",1,5.76,"M","Potassium acetate",7.5
"197","4f15c1c0eeaabc8234002a5f",8,"C0098",2,0.1,"M","HEPES",7.5
"198","4f15c1c0eeaabc8234002a60",8,"C0099",1,2.88,"M","Potassium acetate",6
"199","4f15c1c0eeaabc8234002a60",8,"C0099",2,0.1,"M","MES monohydrate",6
"200","4f15c1c0eeaabc8234002a61",8,"C0100",1,2.88,"M","Potassium acetate",7
"201","4f15c1c0eeaabc8234002a61",8,"C0100",2,0.1,"M","Bis-Tris Propane",7
"202","4f15c1c0eeaabc8234002a62",8,"C0101",1,2.88,"M","Potassium acetate",10
"203","4f15c1c0eeaabc8234002a62",8,"C0101",2,0.1,"M","CAPS",10
"204","4f15c1c0eeaabc8234002a63",8,"C0102",1,4,"M","Potassium bromide",5
"205","4f15c1c0eeaabc8234002a63",8,"C0102",2,0.1,"M","Sodium acetate trihydrate",5
"206","4f15c1c0eeaabc8234002a64",8,"C0103",1,4,"M","Potassium bromide",8
"207","4f15c1c0eeaabc8234002a64",8,"C0103",2,0.1,"M","Tris",8
"208","4f15c1c0eeaabc8234002a65",8,"C0104",1,2.66,"M","Potassium bromide",6
"209","4f15c1c0eeaabc8234002a65",8,"C0104",2,0.1,"M","MES monohydrate",6
"210","4f15c1c0eeaabc8234002a66",8,"C0105",1,2.66,"M","Potassium bromide",7
"211","4f15c1c0eeaabc8234002a66",8,"C0105",2,0.1,"M","Bis-Tris Propane",7
"212","4f15c1c0eeaabc8234002a67",8,"C0106",1,2.66,"M","Potassium bromide",10
"213","4f15c1c0eeaabc8234002a67",8,"C0106",2,0.1,"M","CAPS",10
"214","4f15c1c0eeaabc8234002a68",8,"C0107",1,1.33,"M","Potassium bromide",4.2
"215","4f15c1c0eeaabc8234002a68",8,"C0107",2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"216","4f15c1c0eeaabc8234002a69",8,"C0108",1,1.33,"M","Potassium bromide",7.5
"217","4f15c1c0eeaabc8234002a69",8,"C0108",2,0.1,"M","HEPES",7.5
"218","4f15c1c0eeaabc8234002a6a",8,"C0109",1,1.33,"M","Potassium bromide",9
"219","4f15c1c0eeaabc8234002a6a",8,"C0109",2,0.1,"M","TAPS",9
"220","4f15c1c0eeaabc8234002a6b",8,"C0110",1,2.54,"M","Potassium carbonate",4.2
"221","4f15c1c0eeaabc8234002a6b",8,"C0110",2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"222","4f15c1c0eeaabc8234002a6c",8,"C0111",1,2.54,"M","Potassium carbonate",7
"223","4f15c1c0eeaabc8234002a6c",8,"C0111",2,0.1,"M","Bis-Tris Propane",7
"224","4f15c1c0eeaabc8234002a6d",8,"C0112",1,2.54,"M","Potassium carbonate",8
"225","4f15c1c0eeaabc8234002a6d",8,"C0112",2,0.1,"M","Tris",8
"226","4f15c1c0eeaabc8234002a6e",8,"C0113",1,1.69,"M","Potassium carbonate",5
"227","4f15c1c0eeaabc8234002a6e",8,"C0113",2,0.1,"M","Sodium acetate trihydrate",5
"228","4f15c1c0eeaabc8234002a6f",8,"C0114",1,1.69,"M","Potassium carbonate",7.5
"229","4f15c1c0eeaabc8234002a6f",8,"C0114",2,0.1,"M","HEPES",7.5
"230","4f15c1c0eeaabc8234002a70",8,"C0115",1,1.69,"M","Potassium carbonate",9
"231","4f15c1c0eeaabc8234002a70",8,"C0115",2,0.1,"M","TAPS",9
"232","4f15c1c0eeaabc8234002a71",8,"C0116",1,0.85,"M","Potassium carbonate",6
"233","4f15c1c0eeaabc8234002a71",8,"C0116",2,0.1,"M","MES monohydrate",6
"234","4f15c1c0eeaabc8234002a72",8,"C0117",1,0.85,"M","Potassium carbonate",10
"235","4f15c1c0eeaabc8234002a72",8,"C0117",2,0.1,"M","CAPS",10
"236","4f15c1c0eeaabc8234002a73",8,"C0118",1,2.32,"M","Potassium chloride",4.2
"237","4f15c1c0eeaabc8234002a73",8,"C0118",2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"238","4f15c1c0eeaabc8234002a74",8,"C0119",1,2.32,"M","Potassium chloride",7
"239","4f15c1c0eeaabc8234002a74",8,"C0119",2,0.1,"M","Bis-Tris Propane",7
"240","4f15c1c0eeaabc8234002a75",8,"C0120",1,2.32,"M","Potassium chloride",7.5
"241","4f15c1c0eeaabc8234002a75",8,"C0120",2,0.1,"M","HEPES",7.5
"242","4f15c1c0eeaabc8234002a76",8,"C0121",1,1.55,"M","Potassium chloride",6
"243","4f15c1c0eeaabc8234002a76",8,"C0121",2,0.1,"M","MES monohydrate",6
"244","4f15c1c0eeaabc8234002a77",8,"C0122",1,1.55,"M","Potassium chloride",8
"245","4f15c1c0eeaabc8234002a77",8,"C0122",2,0.1,"M","Tris",8
"246","4f15c1c0eeaabc8234002a78",8,"C0123",1,1.55,"M","Potassium chloride",9
"247","4f15c1c0eeaabc8234002a78",8,"C0123",2,0.1,"M","TAPS",9
"248","4f15c1c0eeaabc8234002a79",8,"C0124",1,0.77,"M","Potassium chloride",5
"249","4f15c1c0eeaabc8234002a79",8,"C0124",2,0.1,"M","Sodium acetate trihydrate",5
"250","4f15c1c0eeaabc8234002a7a",8,"C0125",1,0.77,"M","Potassium chloride",10
"251","4f15c1c0eeaabc8234002a7a",8,"C0125",2,0.1,"M","CAPS",10
"252","4f15c1c0eeaabc8234002a7b",8,"C0126",1,0.89,"M","Potassium nitrate",5
"253","4f15c1c0eeaabc8234002a7b",8,"C0126",2,0.1,"M","Sodium acetate trihydrate",5
"254","4f15c1c0eeaabc8234002a7c",8,"C0127",1,0.89,"M","Potassium nitrate",9
"255","4f15c1c0eeaabc8234002a7c",8,"C0127",2,0.1,"M","TAPS",9
"256","4f15c1c0eeaabc8234002a7d",8,"C0128",1,0.89,"M","Potassium nitrate",8
"257","4f15c1c0eeaabc8234002a7d",8,"C0128",2,0.1,"M","Tris",8
"258","4f15c1c0eeaabc8234002a7e",8,"C0129",1,1.78,"M","Potassium nitrate",5
"259","4f15c1c0eeaabc8234002a7e",8,"C0129",2,0.1,"M","Sodium acetate trihydrate",5
"260","4f15c1c0eeaabc8234002a7f",8,"C0130",1,0.89,"M","Potassium nitrate",4.2
"261","4f15c1c0eeaabc8234002a7f",8,"C0130",2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"262","4f15c1c0eeaabc8234002a80",8,"C0131",1,0.89,"M","Potassium nitrate",7.5
"263","4f15c1c0eeaabc8234002a80",8,"C0131",2,0.1,"M","HEPES",7.5
"264","4f15c1c0eeaabc8234002a81",8,"C0132",1,0.89,"M","Potassium nitrate",10
"265","4f15c1c0eeaabc8234002a81",8,"C0132",2,0.1,"M","CAPS",10
"266","4f15c1c0eeaabc8234002a82",8,"C0133",1,1.28,"M","Potassium phosphate monobasic",8
"267","4f15c1c0eeaabc8234002a82",8,"C0133",2,0.1,"M","Tris",8
"268","4f15c1c0eeaabc8234002a83",8,"C0134",1,0.85,"M","Potassium phosphate monobasic",7
"269","4f15c1c0eeaabc8234002a83",8,"C0134",2,0.1,"M","Bis-Tris Propane",7
"270","4f15c1c0eeaabc8234002a84",8,"C0135",1,0.85,"M","Potassium phosphate monobasic",7.5
"271","4f15c1c0eeaabc8234002a84",8,"C0135",2,0.1,"M","HEPES",7.5
"272","4f15c1c0eeaabc8234002a85",8,"C0136",1,0.85,"M","Potassium phosphate monobasic",10
"273","4f15c1c0eeaabc8234002a85",8,"C0136",2,0.1,"M","CAPS",10
"274","4f15c1c0eeaabc8234002a86",8,"C0137",1,0.43,"M","Potassium phosphate monobasic",4.2
"275","4f15c1c0eeaabc8234002a86",8,"C0137",2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"276","4f15c1c0eeaabc8234002a87",8,"C0138",1,0.43,"M","Potassium phosphate monobasic",6
"277","4f15c1c0eeaabc8234002a87",8,"C0138",2,0.1,"M","MES monohydrate",6
"278","4f15c1c0eeaabc8234002a88",8,"C0139",1,0.43,"M","Potassium phosphate monobasic",9
